1,Audotorio Sotero Prieto,200
2,CCADET Sala de Seminarios,0
3,CDD Sala de Cómputo,16
4,CDD Sala de Cómputo y herramientas en línea,30
5,CDD Sala de juntas,10
6,CDD Sala de Seminarios,25
7,CDD Sala de Seminarios y de Videoconferencias,20
8,CDD Sala de seminarios y Palacio de Minería,30
9,CDD Sala de Videoconferencia,30
10,DCB J102 y Taller DIMEI,0
11,DCB Salón 124,50
12,DCB Salón 125,50
13,DCB Salón 130,50
14,DCB Salón 131,50
15,DCB Salón 233,50
16,DCB Salón 317,50
17,DCB salón I103,30
18,DCB Salón J101,50
19,DCB Salón J102,30
20,DCB Salón J105,50
21,DCB Salón J106,50
22,DCB Salón J107,20
23,DCB Salón J108,30
24,DCB Salón J111,50
25,DCB Salón J205A,30
26,DCB Salón J207,50
27,DCB Salón J208,35
28,DIE Laboratorio,0
29,DIMEI Laboratorio Ing. Ind.,30
30,En línea,30
31,Google meet,30
32,Google Meet y Classroom,50
33,Google meet y Google Drive,50
34,Laboratorio de Fotogrametría de la DICyG,30
35,Laboratorio iOS,20
36,Palacio de Minería,0
37,Plataforma EDUCAFIPLUS del Centro de Docencia,30
38,Plataforma EDUCAFIPLUS del Centro de Docencia y Zoom,30
39,Posgrado 403,20
40,Posgrado 404,20
41,Posgrado 405,20
42,Posgrado 408,20
43,Sala de juntas SPI y SAD,20
44,Sala del Consejo Técnico,30
45,Salón 217. Aula de Instrumentación Virtual,50
46,Salón A208,70
47,Salón de la DCB y Taller de DIMEI,0
48,Salón de usos múltiples R206,30
49,Salón I103 y taller de manufactura,30
50,Salón P010 FI,24
51,Salón por asignar,0
52,Salones I201, J106, J206 y J207,30
53,Zoom,50
54,Zoom y chat,30
55,Zoom y Educafi Plus del CDD,0
56,Zoom y Google Classroom,50
57,Zoom y Gsuite de Google,0
